base_price,discounted_price,product_name,category,brand,description
"5,15",3.57,Canapés au seigle - 250g,Epicerie,Cyril Pinabel,"Un goût authentique à conjuguer aux multiples garnitures ""terre et mer"" pour des toasts racés et savoureux, appréciés de tous."
"5,00",3.81,Anticalcaire au citron - 500 ml,Tout pour la maison,Ecover,
"3,00",2.17,Tartines Ki'kroc cacao - 150g,Epicerie,Grillon d'Or,Tartines croustillantes au cacao sans gluten.
"2,50",1.76,"Courge spaghetti - 2,5g",,La belle potagère,Courge aux fruits oblongs à l'écorce jaune clair et à la chair délicate et filamenteuse comme des spaghettis après cuisson.
"4,45",3.79,Petites brioches pépites à réchauffer - 225g,Epicerie,Nature et Compagnie,A déguster à la sortie du four pour un maximum de douceur.
"39,00",29.25,T-shirt femme manche courte - Blanc + poche marinière,Vêtements,Le T-shirt propre,"Un t-shirt Propre, c'est : Made in France et 100% coton BIO."
"2,95",2.21,Haricot coco nain big Borlotto - 50g,,La belle potagère,Variété naine produisant des gousses de 11-13 cm de long. La gousse et le grain sont blanc crème veinés de rose vif. Se consomme en grain verts ou secs.
"2,50",1.76,"Chicorée frisée grosse pancalière - 0,5g",,La belle potagère,"Variété à la pomme volumineuse et facile à blanchir. Feuilles finement découpées, côtes charnues, blanches et denses. Très résistante à la chaleur, elle apprécie un sol riche en humus."
"39,00",29.25,T-shirt femme manche courte col V - Noir,Vêtements,Le T-shirt propre,"Un t-shirt Propre, c'est : Made in France et 100% coton BIO."
"3,20",2.30,Premier légume : carotte dès 4 mois - 130g,Bébé et enfant,Boulette et Gros Lapin,"Petit pot de carotte, le premier légume à déguster à partir de 4 mois fait avec amour par un maraîcher aveyronnais. Carotte et c'est tout !"
"13,55",9.47,Huile essentielle Gingembre - 10 ml,Santé,Biofloral,Huile essentielle de palmarosa produite dans les montagnes d'Auvergne.
"5,59",3.74,Fard à paupières 01 It's Nude - 2 g,Hygiène et beauté,Santé,Le fard à paupières mono couleur SANTE délivre une couleur intense grâce à ses pigments minéraux naturels. Le N°1 It’s Nude unifie les paupières pour un rendu beige mat.
"9,90",6.94,Huile essentielle Sauge sclarée - 5 ml,Santé,Biofloral,Huile essentielle de sauge sclarée produite dans les montagnes d'Auvergne.
"11,58",8.52,"Crayon à paupières kajal n° 04 bleu nuit, 1,1 g",Hygiène et beauté,Santé,"En un seul geste, le crayon kajal No.04 Bleu Nuit apporte intensité et profondeur au regard."
"39,00",29.25,T-shirt femme manche courte - Bleu + poche marinière,Vêtements,Le T-shirt propre,"Un t-shirt Propre, c'est : Made in France et 100% coton BIO."
"12,90",8.69,Huile fleur de beauté - 50 ml,Santé,Naturellement simples,"Adoucie et hydrate les peaux sèches et irritées, tonifie le teint. Grâce à un macérat solaire, ce mélange d'huile d'olive et de tournesol a acquis des propriétés régénérentes."
"12,90",8.69,Huile confort articulaire - 50 ml,Santé,Naturellement simples,"Calme les inflammations dues aux rhumatismes et à l'arthrose. Grâce à un macérat solaire, cette huile de tournesol a acquis des propriétés calmantes."
"12,90",8.69,Baume au millepertuis - 30 ml,Hygiène et beauté,Naturellement simples,"L'allié des peaux sèches et sensibles et bien plus ! Pour les brûlures, les coups de soleil, l’irritation des fesses de bébés, les névralgies, les sciatiques ... ce baume multi-usage saura trouver de multiples utilisations."
"13,50",8.97,Complexe courage espoir - spray 20 ml,Santé,Biofloral,Chasse la peur et le doute et donne courage et persévérance.
"7,61",5.09,Laque à lèvres 01 Style-me Nude - 9 ml,Hygiène et beauté,Santé,"La laque à lèvres SANTE vous offre des lèvres ultra brillantes et donne du volume pour un résultat glossy longue tenue. Opter pour le N°1 Style-Me-Nude, c’est s’offrir une bouche pulpeuse en toute discrétion."
"21,30",13.31,Masque hydratant âge protection - 100 ml,Hygiène et beauté,Logona,Le masque hydratant Age Protection à l'extrait de baies d'argousier et à l'acide hyaluronique diminue les petites ridules et apporte un soin particulièrement intense aux peaux exigeantes.
"10,90",7.66,Huile essentielle Marjolaine - 10 ml,Santé,Biofloral,Huile essentielle de marjolaine produite dans les montagnes d'Auvergne.
"4,58",3.48,Tisane Sauge - 20 sachets,Santé,Romon Nature,"Modère les bouffées de chaleur et la transpiration excessive, elle posséde également des effets bienfaisants sur les troubles de la ménopause et les règles douloureuses."
"4,75",3.75,Tisane Articulations Bio - 36 g,Santé,Romon Nature,Ce mélange savoureux réconfortera les articulations douloureuses.
"13,38",8.74,Spray solution argent colloïdal 20ppm - 250 ml,Santé,Vecteur Energy,"L'antibiotique naturel idéal pour combattre les problèmes infectieux, en format spray pour une utilisation plus facile sur les bobos du quotidien."
"9,20",6.25,Perles essentielles relaxation sommeil - 20 ml,Santé,Biofloral,Apporte relaxation et détente. Favorise un soomeil profond et réparateur. Idéal dans toutes les situations de stress.
"9,50",6.18,Porte encens cône en pierre,Tout pour la maison,Aromandise,Les porte-encens en pierre noire tournée sont très élégants et sont ciselés à la main.
